Year,Squad,Age,SweeperAvgDist,Per90MinutesnpxG,StandardSoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd
2019,fr Lille,23.9,15.9,1.46,4.17,84.4,83.9,45.9,9,13,22.83,190,1063,1559,786
2019,eng Liverpool,27,19.3,1.94,5.52,90,87.4,66.9,18,82,30.6,222,1438,3695,2066
2019,ru Loko Moscow,28.6,12.9,1.01,3.5,82.7,81.5,51.2,7,16,14.83,189,1083,1296,530
2019,fr Lyon,25,12.1,1.11,3.9,88.4,83.7,55.9,10,39,20.7,249,1881,2684,1366
2019,eng Manchester City,26.9,20.5,2.53,6.44,92.8,90.9,67.9,32,31,29.78,254,1426,3663,2104
2019,it Napoli,27.1,11,1.47,3,89.6,86.5,62.5,6,52,24.62,230,1759,2354,1065
2019,gr Olympiacos,26.2,9.8,1.05,3.33,87.2,84.8,55.2,4,26,23.17,156,1196,1498,599
2019,fr Paris S-G,27.4,11,2.31,5.36,92.7,88.8,55.5,47,25,21.73,315,2423,3963,1515
2019,de RB Leipzig,24.2,21.3,1.48,4.6,90,86.3,57.6,13,29,28.2,296,1974,3669,2047
2019,at RB Salzburg,24.1,14.1,2.02,5.83,86,78,46.7,12,12,27,190,1055,1660,859
2019,es Real Madrid,27.3,14.6,1.98,6.62,92.9,87.9,69.2,11,54,31.75,215,1686,2662,1760
2019,rs Red Star,27.5,10.8,0.54,2.83,86.4,79.9,44.1,6,9,15.33,193,1087,1397,454
2019,ua Shakhtar,28.4,12.5,1.25,3.67,91.5,89.7,59.8,11,34,18.67,155,1253,1850,763
2019,cz Slavia Prague,26.9,21,1.44,5.5,85.9,84.2,59.8,8,36,24.5,160,1188,1550,1112
2019,eng Tottenham,26.2,10.9,1.62,5.63,90.6,87.8,51.2,27,17,21.38,190,1403,2680,1170
2019,es Valencia,27.2,13.6,1.54,4.37,87.1,87.1,54.3,16,34,22.62,215,1684,2158,1001
2019,ru Zenit,28.1,12.2,1.02,3.33,85.9,79.5,54.4,10,34,17.67,201,1238,1393,725
2019,nl vs Ajax,25,14.1,1.91,4.67,86.6,86,52.4,10,26,25.5,185,1199,1550,794
2019,it vs Atalanta,27,17.4,1.93,5,88.4,84.9,60.1,13,30,23.22,255,1671,2763,1278
2019,es vs Atlético Madrid,27.3,13.6,0.98,3.21,89.4,86.7,59.6,1,62,20.46,248,1915,3267,1622
2019,es vs Barcelona,27.3,18.8,1.81,5.11,89.9,87.6,63.1,18,50,25.11,281,1810,2328,1406
2019,de vs Bayern Munich,26.7,9.1,0.86,3,86.9,85.2,48.7,24,32,14.18,279,2397,2269,879
2019,pt vs Benfica,25.7,13.6,1.44,4.5,89.5,86.2,62.2,10,25,24.67,163,1148,2006,956
2019,eng vs Chelsea,26.1,14.6,1.39,3.87,86.7,89.2,56.7,19,31,20.62,238,1734,2266,993
2019,be vs Club Brugge,28.2,15.1,1.73,4.33,91.4,86.9,56.9,9,22,23.5,162,1345,2016,1015
2019,hr vs Dinamo Zagreb,27.8,17.3,2.45,5.5,91,87.5,59.7,13,24,30,189,932,2374,1457
2019,de vs Dortmund,27.3,14.6,1.54,4.5,88.8,88.7,67.3,26,38,19.25,256,1579,2727,1209
2019,tr vs Galatasaray,26.5,13.4,2.47,7.5,90.6,84,58.2,26,16,29.67,168,1107,1868,1181
2019,be vs Genk,26,12,2.77,6.5,90.5,85.9,64.2,16,35,33,157,1077,2298,1183
2019,it vs Inter,26.4,18.7,1.59,4.83,90.8,89.1,67.4,4,37,26.33,141,1189,2078,1406
2019,it vs Juventus,26.7,11.8,1.26,2.75,89.6,84.5,53.9,4,42,21.38,204,1498,1917,1207
2019,de vs Leverkusen,28.2,14.7,1.13,4.67,86,84.8,59.8,14,23,14.83,184,1123,1765,715
2019,fr vs Lille,25.9,17.8,1.55,5.17,88.1,86.3,64,12,35,24.5,200,1298,2062,987
2019,eng vs Liverpool,25.2,12.9,0.97,3.84,85,72.9,46.5,8,22,13.56,249,1773,1735,733
2019,ru vs Loko Moscow,27.1,20.8,1.92,6.67,90.9,89.3,60.9,17,23,37.33,167,916,2693,1471
2019,fr vs Lyon,26,14.8,1.61,3.5,89.3,86.9,58.1,17,49,24.9,305,1882,3383,1643
2019,eng vs Manchester City,26.8,11,0.79,2.89,89.3,85.2,55,12,49,14,251,2005,1991,849
2019,it vs Napoli,25.8,13.9,1.08,2.75,91.2,88.8,60.3,6,27,22.12,238,1280,2832,1567
2019,gr vs Olympiacos,27,18.4,1.76,5.67,90.8,86.6,57.8,8,21,27.17,156,896,2058,1003
2019,fr vs Paris S-G,26.7,15.7,1.05,2.55,89.3,87.5,60.4,6,56,21.55,300,2027,3001,1959
2019,de vs RB Leipzig,26.1,14.3,1.22,4.5,87.6,83,54.4,21,29,19.2,266,2162,2868,1150
2019,at vs RB Salzburg,25.8,18.6,1.98,4.83,86,84.7,61.8,11,60,29.5,180,1415,1908,912
2019,es vs Real Madrid,27.5,13.3,1.62,4.12,90.8,87.8,58.2,18,22,20.12,225,1659,2390,1193
2019,rs vs Red Star,26.3,21.6,3.04,8.5,91,88.2,65.2,16,29,39.5,149,937,2392,1273
2019,ua vs Shakhtar,26.7,19.4,1.93,5.17,90.2,88.4,66.2,15,22,25.5,163,805,1981,1136
2019,cz vs Slavia Prague,27.3,12,2.03,5.83,86.7,85.7,55.3,26,24,24,181,1394,1837,750
2019,eng vs Tottenham,26.2,18.4,1.2,5.63,88.7,87.5,59.9,10,30,25.25,256,1662,2482,1079
2019,es vs Valencia,25.6,15.6,1.68,4.62,89.5,83.6,51.6,10,22,29.25,209,1272,2238,1513
2019,ru vs Zenit,25.1,18.2,1.31,6,91.4,84.3,61.3,6,33,31.17,144,1071,2085,1520
2020,nl Ajax,24.7,15.9,1.21,4.67,85.9,83.7,52.2,3,15,20.5,182,1457,1741,922
2020,it Atalanta,27.5,15.8,1.46,5.12,87,83.5,56.3,10,46,18.87,279,1562,2245,1239
2020,es Atlético Madrid,27,14.3,1.14,3.87,87,82.9,55.8,7,37,20.87,217,1398,2284,1404
2020,es Barcelona,26,17.4,1.92,6.87,94.5,91.9,69.8,12,29,33.25,197,1271,3304,2403
2020,tr Başakşehir,29.5,15.5,0.87,3.67,87.6,83.8,52.1,2,18,17.67,150,1192,1515,800
2020,de Bayern Munich,27,20.9,1.94,5.7,89.6,89.1,69,8,64,29.3,283,2014,3451,2054
2020,eng Chelsea,26.2,12.9,1.64,4,91.5,87.5,54.4,12,38,20.23,345,2640,4241,2085
2020,be Club Brugge,25.8,23,1.15,2.67,88,87.1,60.2,1,52,15.5,157,1140,1706,1083
2020,de Dortmund,25.8,9.2,1.28,4.9,90.4,90.2,65.1,12,49,21.3,260,2112,3099,1884
2020,ua Dynamo Kyiv,24.4,8.1,0.94,3.5,88.7,86.8,61.1,3,24,11.17,189,1449,1542,622
2020,hu Ferencváros,27.8,15.1,0.8,2.33,88.3,88.5,63.3,5,27,15.83,179,1516,1633,594
2020,it Inter,28.3,20.5,1.39,3.33,88.2,90,65.8,5,28,23.5,160,1087,1931,924
2020,it Juventus,27.6,17.2,1.71,5.76,90.6,90.5,66.2,6,53,25.68,257,1413,3230,1463
2020,ru Krasnodar,27.8,8.4,0.93,2.83,85.7,79.7,45.7,4,15,19.67,154,1079,1369,694
2020,it Lazio,29,10.8,1.34,4.37,89.4,87,64.1,12,38,20.87,241,1789,2163,991
2020,eng Liverpool,26,19.1,1.4,4.3,89,85.7,54.7,8,54,18.2,252,1982,3483,1607
2020,ru Loko Moscow,28.5,12.6,0.55,2.5,82.2,80.2,55.3,5,21,12.33,189,1367,1258,498
2020,de M'Gladbach,27,12.6,1.25,3.87,90.7,87.5,56,10,33,16.88,232,1954,2099,754
2020,eng Manchester City,26.1,19.3,1.61,5.46,93.1,91.6,69,10,56,22.46,305,1913,5962,2764
2020,eng Manchester Utd,25.7,14.5,1.38,5.33,89.1,85.8,58.6,6,26,25.33,151,989,1887,1017
2020,fr Marseille,27.5,16.2,0.59,1.83,89.8,87.7,49.4,0,24,14.17,175,1357,1773,643
2020,dk Midtjylland,25.5,15.3,0.91,3.5,80.6,78.7,51.7,5,14,17,204,1176,1341,716
2020,gr Olympiacos,28.7,9.4,0.69,1.67,88.9,85.6,56.2,1,32,12.17,171,1338,1804,614
2020,fr Paris S-G,27.3,12.5,1.52,3.92,92.1,87.7,54.5,17,36,20.58,342,2838,3474,1457
2020,pt Porto,27,13.8,0.91,3.39,86.7,83.7,47.8,3,33,12.97,256,2090,2127,1075
2020,de RB Leipzig,24.8,18.6,1.22,3.75,87.5,83.5,55,3,33,23,273,1668,2593,1183
2020,at RB Salzburg,24.9,13.4,1.87,6.5,82.5,81.2,48.5,9,12,27.83,214,1075,1740,948
2020,es Real Madrid,27.9,18.2,1.47,5.08,92.9,90.6,68.7,9,130,23.5,349,2526,4695,2321
2020,fr Rennes,25.7,20.3,1,4.17,88.8,85.7,58.5,0,32,22.17,139,1183,1766,844
