,ChallengesTkl%,Year,Take-OnsSucc%,GoalieLaunchedComp%,GoaliePassesLaunch%,TotalPassCmp%,Posession,TotalWins,GoalieSave%,GoalsAgainstPer90,TeamSuccess(xG)xG+/-90,StandardSoT/90,StandardSh/90
159,32.3,2019,54,52.4,50.3,74,39.5,2,81.6,1.5,-0.55,3.33,9.83
160,34.4,2019,58,31,49.7,77.6,45.5,2,50,2,1.05,4.67,14.5
161,38.3,2019,57.3,44.2,43,80.4,51.7,4,71.1,1.91,0.14,5,12.89
162,39.1,2019,62.3,45.4,33,81.6,54.9,3,76.1,1.39,-0.66,3.21,11.79
163,30.1,2019,61.2,53.5,24.3,83,43,1,67.4,1.67,0.39,5.11,14.33
164,39,2019,59.3,29.7,41.2,76.9,36.2,0,58.6,3.91,-2.3,3,8.09
165,47.2,2019,59.7,47.8,33.1,81.1,51.5,3,69,1.67,0.22,4.5,14
166,30.4,2019,59.5,30.6,32.5,80.2,48.6,3,76.7,1.5,-0.59,3.87,11.25
167,43.4,2019,54.4,35.5,37.9,83.1,58.5,3,75,0.67,0.51,4.33,13
168,54.9,2019,64.3,42.2,24.6,84.5,64.8,3,52.6,1.67,1.46,5.5,15.67
169,38.1,2019,59.5,42.9,22.7,84,48.3,3,69.7,1.25,-0.17,4.5,11
170,35.2,2019,60,26.9,40.5,81.2,53.3,4,88.9,0.17,2.03,7.5,16.5
171,47,2019,55.7,40,16.1,82.9,59.7,5,76.2,0.83,1.88,6.5,19.67
172,35.5,2019,61.1,32.9,31.5,85.3,58.5,3,65.5,1.67,0.05,4.83,14.67
173,33.1,2019,64.5,36.5,47.7,79.6,40.6,1,64.9,1.75,-0.15,2.75,12
174,36.8,2019,61.1,48.1,35.8,77.9,41.2,4,68.8,0.83,0.01,4.67,9.17
175,43.8,2019,69.3,32,41.6,81.3,57.3,5,84,0.67,0.22,5.17,13.33
176,35.5,2019,50,39.1,59.3,70,33.4,3,67.4,1.8,-0.89,3.84,7.8
177,40.7,2019,66.4,31.4,26.8,84.6,67.7,5,81,0.67,1.17,6.67,19.67
178,32.9,2019,59.7,43.8,29.6,81.3,55.1,4,70.7,1.4,0.57,3.5,13.9
179,31.6,2019,55.2,33.8,34.3,79.9,37.6,1,68.3,2.33,-1.91,2.89,7.33
180,43.3,2019,58.3,34.1,31,83.3,52.5,1,67.9,1.62,-0.48,2.75,12.38
181,34.9,2019,49.1,54.1,27.5,82.8,55,4,72.7,1.33,0.71,5.67,15.33
182,39.9,2019,57.9,36.9,38.5,82.1,46.8,2,60,2.27,-1.27,2.55,11.91
183,41.4,2019,60,44.5,32.9,77.8,42.9,2,76,1.6,-0.5,4.5,10.7
184,54.4,2019,61.2,52.8,30.1,78.9,55.2,3,62.2,2.67,-0.3,4.83,16.17
185,37.4,2019,64.9,47.7,42.2,83.2,45.3,3,72.2,2,-0.36,4.12,11.25
186,53.1,2019,62,33.9,29.4,84.2,63.5,5,82.4,0.5,2.64,8.5,22.5
187,37.1,2019,65.8,35.3,31.1,84.4,50.2,2,69.6,1.33,0.81,5.17,13.83
188,54.1,2019,68.9,29.6,29.7,78.8,51.3,4,91.2,0.67,0.46,5.83,13.5
189,43.7,2019,59.9,29.1,28.6,81.5,50,4,66,2.25,-0.42,5.63,14.25
190,45.9,2019,62.2,36,36.2,79.2,51.5,3,67.6,1.62,0.13,4.62,16.12
191,46,2019,67.7,38.8,27.2,82.8,60.5,3,65,1.17,0.55,6,17.5
192,41.7,2020,66.4,28.6,25.4,77.2,56,2,78.6,1.17,0.01,4.67,11.5
193,35.8,2020,53.8,53.7,39.3,77.9,46.5,3,73.7,1.5,0.16,5.12,11.37
194,47,2020,68.1,34.5,55.8,77.9,49.1,2,62.5,1.37,-0.14,3.87,11.87
195,36.6,2020,61.5,46.9,12.5,89.7,62.1,5,79.3,1.25,0.94,6.87,17.12
196,35.1,2020,52.6,40.2,48.9,77.4,42.8,1,55.6,3,-1.16,3.67,10.67
197,38.5,2020,61.5,47.1,17.3,84.4,59.6,8,79.2,1,0.78,5.7,16.2
198,45.8,2020,61.9,41.7,24.4,83.3,51.8,9,88.9,0.31,1.31,4,10.77
199,46.7,2020,63.6,45.8,44.8,80.1,50.2,2,67.9,1.67,-0.13,2.67,9
200,38.8,2020,54.7,28.1,30.4,84.8,49.5,5,75,1.3,0.08,4.9,11.8
201,33,2020,61.7,44.8,27.2,81.8,42.5,1,72.5,2.17,-1.12,3.5,7.17
202,37.8,2020,55.2,51.3,29.7,82.2,44.2,0,61.1,2.83,-1.19,2.33,10.17
203,26.9,2020,57,48.3,18.2,82.8,50.3,1,69.6,1.5,0.3,3.33,13.5
204,41.2,2020,61.6,47.6,9.5,85.2,55.1,6,82.9,0.96,0.73,5.76,14.64
205,33,2020,63.7,39.7,55.8,73.5,37.5,1,81.4,1.83,-0.92,2.83,10.83
206,40.3,2020,61.7,43.8,21,81.8,44.8,2,68.6,1.62,0.19,4.37,11.12
207,39,2020,55.1,40.8,30,80.2,52,6,86.8,0.6,0.08,4.3,10.9
208,40.3,2020,63.5,46.7,41.8,73,38.8,0,71.4,1.67,-1.03,2.5,6.5
209,42.1,2020,62.4,38.4,27,82.3,42,2,62.9,1.62,-0.28,3.87,9.12
210,40.8,2020,60,43.7,18.9,88.1,60.2,11,79.2,0.38,1.18,5.46,12.85
211,48.4,2020,62.4,47.1,35.8,81,51,3,58.3,1.67,0.51,5.33,13.67
212,41.1,2020,53.1,27.4,36.8,81.2,50,1,56,2.17,-0.71,1.83,7.83
213,36.3,2020,64.6,36.2,45.3,70.5,42.3,0,66.7,2.17,-0.71,3.5,10.17
214,35.2,2020,67.6,35,32.9,79.2,49,1,79.4,1.67,-0.9,1.67,7.33
215,36.5,2020,58.9,33.6,32.3,83.4,48.3,6,82.6,1.25,0.22,3.92,11.67
216,41.5,2020,59.9,27.9,57.9,74.9,39.8,6,79.5,0.87,-0.25,3.39,7.65
217,44.5,2020,57.1,34.7,25.7,78.2,52.4,4,64.9,2,-0.27,3.75,12.38
218,37.3,2020,48.9,30.6,34,73.7,48.8,1,53.1,2.83,0.33,6.5,17.17
219,44,2020,66.5,24.8,22.2,86.3,57.6,6,64.1,1.17,0.3,5.08,13.42
220,36,2020,60,36.1,35.7,79.9,49.5,0,69,1.83,-0.8,4.17,11.83
221,37.4,2020,59.8,43.8,24,83.6,60.3,4,73.5,1.62,0.12,6.12,16
222,38.1,2020,70.2,26,34.8,84.1,45.3,2,70.3,2,-1.05,2.83,6.83
223,35.2,2020,59.2,41.7,29.8,79.1,46.2,0,64.3,2.17,-0.95,2.33,9.83
224,33.6,2020,58.3,47.4,44.7,72.8,43.7,3,79.3,1.17,-0.01,4.5,11.67
225,46.2,2020,64.2,32.8,33.4,81.4,53.8,3,73.2,1.37,-0.16,4.5,11.62
226,31.9,2020,53,42.9,24.9,80.5,51.4,3,77.4,0.87,0.14,2.75,10.87
227,38.5,2020,63.4,50.6,30.1,83.3,37.3,2,80.6,2.25,-0.94,3.12,8.87
228,47.4,2020,64.9,33.3,31.5,83.3,57.2,5,68.2,1.17,1.16,5.67,15.67
229,38.5,2020,61.5,42.1,45.2,77.2,40.2,1,60,2.7,-0.78,4.8,11.3
230,38.1,2020,54.2,35,35.9,80.5,48,1,68.4,1.77,-1.31,2.77,9.31
231,36.4,2020,53.3,36.2,29.1,81.7,49.8,2,66.7,1.33,0.13,4.5,12
232,45.3,2020,61.2,42,27.6,84.1,50.6,3,66.7,1.9,-0.08,3.7,11.3
233,38.3,2020,67,52,13.6,85.9,58,4,86.4,0.67,1.12,6.33,14.33
234,44.8,2020,62.2,47.8,10.4,86.3,56.2,5,73.3,0.83,1.19,5.5,14
235,43,2020,73.1,23.8,32.2,84.4,49.8,2,65,1.17,-0.3,3.5,8.5
236,38.4,2020,58.8,36.2,41.5,83.3,44.9,2,68,2.16,-0.73,3.96,10.92
237,36.3,2020,67,38.9,25.2,84,62.8,3,72.2,1,0.92,6.67,17.83
238,38.3,2020,59.7,50.7,23.9,84.9,55.4,2,73.7,1.62,-0.19,4.12,11.12
239,44.9,2020,61,36.3,33.1,77.8,47.8,2,68.2,1.5,-0.08,3.7,10.9
240,36.5,2020,59.7,34.9,29.8,80.7,61.2,3,82.4,0.83,1.03,5.83,18.17
241,37.6,2020,57.9,43.2,14.1,87.4,58.5,4,57.6,2,0.28,4.37,13.62
242,40,2020,59.2,28.7,31.5,82.5,39.6,1,68.5,1.92,-1.18,1.85,6.46
243,37.6,2020,51.6,44.8,31,80,49,3,69.4,2.5,-0.51,4,11.17
244,46.9,2020,58.9,37.3,39.7,82.6,49.3,5,100,0.33,0.71,3.83,9
245,35.4,2020,63.7,29.2,27.9,78.7,58,4,91.3,0.67,0.71,5.83,12.33
246,32.4,2020,64.8,23.8,45.5,81.6,51.5,5,80,0.33,0.9,5.17,13.17
247,41.1,2020,63.5,43.5,26.6,83.4,51.6,5,62.7,1.83,-0.22,5.42,14.67
248,40.1,2020,58.5,41.3,19.7,82.3,60.4,3,71.8,1.45,0.25,3.68,11.42
249,42.9,2020,55.5,30.6,34.8,77.1,47.5,4,67.7,1.37,0.27,4.12,10.5
250,51.1,2020,62.7,39.6,36.5,75.9,50.8,4,74.4,1.67,-0.33,5,11.17
251,33.5,2020,56,45.3,26.8,82,42.1,3,73,1.58,-0.3,3.25,9.08
252,40,2020,64,40.5,32,81.2,50.3,5,96.3,0.5,0.8,4.5,11.67
253,40.2,2020,62.6,36.2,47.3,76.6,39.4,2,76,1.62,-0.12,3.75,9.75
254,29.8,2020,61.9,29.6,20.9,83.8,53.8,2,70.6,0.83,1.05,6,15.33
255,40.8,2020,64.8,41.3,35.6,82.3,54.3,5,71.4,0.67,0.95,4.17,12.17
256,41.4,2021,52.2,37.5,19.5,84.5,61.4,6,72.7,1,1.12,6,16
257,58.8,2021,46.3,37.9,23.9,80.1,52,1,61.8,2.17,0.18,5.17,13.67
258,42.2,2021,58.2,25.3,60.3,74.7,40.6,3,77.8,1,-0.11,2.5,9.5
259,44.8,2021,68.1,44.2,18.6,85,57.8,2,68,1.5,-0.51,1.83,10
260,42.9,2021,68.6,61.2,17.4,85.8,62.9,7,72,0.7,1.86,6.6,18.6
261,44.1,2021,53.7,35.3,41.9,77.4,38.9,3,67.3,1.7,-0.97,3.4,9.2
262,39.3,2021,61.6,45.6,38.1,78.1,44.2,0,62.8,3.17,-2.26,1.83,8
263,48.9,2021,55.4,28.3,16.2,86.3,61,7,60.9,0.97,0.77,5.23,16.06
264,44.8,2021,63.8,54.1,44.3,72.9,38.8,1,63.8,3.33,-2.23,4.33,10.17
265,44.5,2021,65.2,54.8,23.8,81.7,51.8,3,52.2,1.83,0.64,4.5,13.83
266,33.8,2021,48.1,36.3,40.6,79.7,41.2,0,64.3,1.83,-0.82,2.83,8
267,44.8,2021,47.3,41.5,16,83.4,49.1,4,63.2,0.87,0.62,4.75,16.62
268,43.6,2021,63.2,36,23.9,84.4,51.5,5,66.7,1.25,0.34,4.25,12.75
269,55.8,2021,57.6,26.1,47.5,76.9,46.8,3,75,1,0.37,2.5,11
270,48.4,2021,53.9,46.4,15.4,84.2,61.8,10,50,1.08,1.09,6.08,17.08
271,34.4,2021,56.3,28.1,49.1,76.6,38,0,77.3,2.33,-2.25,1.17,6
